implementation,n_features,n_samples,seed,accuracy,train_time,test_time
OurFastRandomForest,50,200,0,0.7,2.8254408836364746,0.0055103302001953125
OurFastRandomForest,50,200,1,0.6833333333333333,1.670788049697876,0.005596160888671875
OurFastRandomForest,50,200,2,0.7333333333333333,1.6578912734985352,0.006133556365966797
OurFastRandomForest,50,200,3,0.7666666666666667,1.5641837120056152,0.005950927734375
OurFastRandomForest,50,200,4,0.8333333333333334,1.6836318969726562,0.005837917327880859
FastRandomForest,50,200,0,0.65,0.6259260177612305,0.005475521087646484
RandomForestClassifier,50,200,0,0.65,0.033229827880859375,0.017026901245117188
OurFastRandomForest,50,100,0,0.6333333333333333,0.8823440074920654,0.0028209686279296875
OurFastRandomForest,50,100,1,0.7666666666666667,0.8972518444061279,0.002605915069580078
OurFastRandomForest,50,100,2,0.7333333333333333,0.9029769897460938,0.0025634765625
OurFastRandomForest,50,100,3,0.7,0.8751683235168457,0.002562284469604492
OurFastRandomForest,50,100,4,0.6333333333333333,0.8705525398254395,0.002663135528564453
FastRandomForest,50,100,0,0.7,0.3165111541748047,0.0022423267364501953
RandomForestClassifier,50,100,0,0.6333333333333333,0.03397250175476074,0.017704486846923828
OurFastRandomForest,50,100,0,0.5,0.8662564754486084,0.0026428699493408203
OurFastRandomForest,50,100,1,0.6333333333333333,0.9277245998382568,0.002605915069580078
OurFastRandomForest,50,100,2,0.5,0.905512809753418,0.0026993751525878906
OurFastRandomForest,50,100,3,0.5333333333333333,0.828294038772583,0.002652406692504883
OurFastRandomForest,50,100,4,0.6666666666666666,0.9491007328033447,0.0026798248291015625
FastRandomForest,50,100,0,0.5333333333333333,0.32837462425231934,0.002263307571411133
RandomForestClassifier,50,100,0,0.5666666666666667,0.033399105072021484,0.018076658248901367
OurFastRandomForest,50,300,0,0.8111111111111111,2.640152931213379,0.009448766708374023
OurFastRandomForest,50,300,1,0.7444444444444445,2.356718063354492,0.009180784225463867
OurFastRandomForest,50,300,2,0.7111111111111111,2.4477787017822266,0.009024381637573242
OurFastRandomForest,50,300,3,0.8222222222222222,2.5753250122070312,0.009318351745605469
OurFastRandomForest,50,300,4,0.7222222222222222,2.5368077754974365,0.008934974670410156
FastRandomForest,50,300,0,0.7333333333333333,0.9677791595458984,0.008953332901000977
RandomForestClassifier,50,300,0,0.6888888888888889,0.03577113151550293,0.018162965774536133
OurFastRandomForest,50,200,0,0.85,1.6196506023406982,0.005751132965087891
OurFastRandomForest,50,200,1,0.8333333333333334,1.505803108215332,0.005470752716064453
OurFastRandomForest,50,200,2,0.6666666666666666,1.5022048950195312,0.005608320236206055
OurFastRandomForest,50,200,3,0.85,1.5397250652313232,0.0054056644439697266
OurFastRandomForest,50,200,4,0.8666666666666667,1.5743916034698486,0.005593776702880859
FastRandomForest,50,200,0,0.8,0.6012008190155029,0.0055084228515625
RandomForestClassifier,50,200,0,0.7833333333333333,0.03340888023376465,0.01770162582397461
OurFastRandomForest,50,300,0,0.7111111111111111,2.311412811279297,0.008885622024536133
OurFastRandomForest,50,300,1,0.8,2.3353116512298584,0.008941888809204102
OurFastRandomForest,50,300,2,0.7111111111111111,2.5037307739257812,0.009425163269042969
OurFastRandomForest,50,300,3,0.8444444444444444,2.875185966491699,0.009260177612304688
OurFastRandomForest,50,300,4,0.7555555555555555,2.2828948497772217,0.009084463119506836
FastRandomForest,50,300,0,0.7666666666666667,0.8868658542633057,0.009429693222045898
RandomForestClassifier,50,300,0,0.7,0.03422904014587402,0.016884565353393555
