implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,20,100,0,0.7666666666666667,0.16013479232788086,0.0004868507385253906
FastRandomForest,20,100,1,0.8,0.1485593318939209,0.0004870891571044922
FastRandomForest,20,100,2,0.8666666666666667,0.1467900276184082,0.0004394054412841797
RandomForestClassifier,20,100,0,0.7333333333333333,0.01894974708557129,0.001186370849609375
RandomForestClassifier,20,100,1,0.8,0.019677162170410156,0.0010616779327392578
RandomForestClassifier,20,100,2,0.7333333333333333,0.01953601837158203,0.0010576248168945312
FastRandomForest,20,200,0,0.6833333333333333,0.2842724323272705,0.0009646415710449219
FastRandomForest,20,200,1,0.65,0.3624091148376465,0.0010573863983154297
FastRandomForest,20,200,2,0.7333333333333333,0.3256962299346924,0.0010142326354980469
RandomForestClassifier,20,200,0,0.7166666666666667,0.028061866760253906,0.0011110305786132812
RandomForestClassifier,20,200,1,0.6666666666666666,0.027977466583251953,0.001112222671508789
RandomForestClassifier,20,200,2,0.75,0.027269363403320312,0.0010881423950195312
FastRandomForest,20,300,0,0.8,0.3518824577331543,0.0017094612121582031
FastRandomForest,20,300,1,0.8111111111111111,0.3865780830383301,0.0017588138580322266
FastRandomForest,20,300,2,0.8888888888888888,0.4271888732910156,0.00174713134765625
RandomForestClassifier,20,300,0,0.7888888888888889,0.03676152229309082,0.0011248588562011719
RandomForestClassifier,20,300,1,0.8111111111111111,0.03522348403930664,0.0010991096496582031
RandomForestClassifier,20,300,2,0.8666666666666667,0.03743481636047363,0.0010902881622314453
FastRandomForest,20,400,0,0.8416666666666667,0.5795059204101562,0.002343416213989258
FastRandomForest,20,400,1,0.75,0.527679443359375,0.0024437904357910156
FastRandomForest,20,400,2,0.75,0.5053286552429199,0.0023467540740966797
RandomForestClassifier,20,400,0,0.825,0.04386091232299805,0.001155853271484375
RandomForestClassifier,20,400,1,0.7583333333333333,0.05012702941894531,0.0013189315795898438
RandomForestClassifier,20,400,2,0.7416666666666667,0.0442354679107666,0.001153707504272461
FastRandomForest,20,500,0,0.9133333333333333,0.47239041328430176,0.0025572776794433594
FastRandomForest,20,500,1,0.8666666666666667,0.5459210872650146,0.002853870391845703
FastRandomForest,20,500,2,0.88,0.4643514156341553,0.0025599002838134766
RandomForestClassifier,20,500,0,0.9133333333333333,0.046953439712524414,0.0012078285217285156
RandomForestClassifier,20,500,1,0.9,0.047302961349487305,0.0012128353118896484
RandomForestClassifier,20,500,2,0.8866666666666667,0.051125288009643555,0.0011219978332519531
FastRandomForest,20,600,0,0.8888888888888888,0.6635913848876953,0.00385284423828125
FastRandomForest,20,600,1,0.8333333333333334,0.6799376010894775,0.00365447998046875
FastRandomForest,20,600,2,0.8444444444444444,0.6621475219726562,0.003717660903930664
RandomForestClassifier,20,600,0,0.8666666666666667,0.06157827377319336,0.0012044906616210938
RandomForestClassifier,20,600,1,0.8444444444444444,0.06475138664245605,0.0012259483337402344
RandomForestClassifier,20,600,2,0.8444444444444444,0.060533761978149414,0.0011823177337646484
FastRandomForest,20,700,0,0.8857142857142857,0.7543618679046631,0.004548311233520508
FastRandomForest,20,700,1,0.9047619047619048,0.7727720737457275,0.004247903823852539
FastRandomForest,20,700,2,0.8857142857142857,0.772249698638916,0.0040988922119140625
RandomForestClassifier,20,700,0,0.8904761904761904,0.07357287406921387,0.0013055801391601562
RandomForestClassifier,20,700,1,0.8809523809523809,0.07434439659118652,0.0012319087982177734
RandomForestClassifier,20,700,2,0.8761904761904762,0.06755447387695312,0.001556396484375
FastRandomForest,20,800,0,0.8291666666666667,1.0495257377624512,0.005302906036376953
FastRandomForest,20,800,1,0.8541666666666666,1.062877893447876,0.005726814270019531
FastRandomForest,20,800,2,0.8166666666666667,1.0961365699768066,0.0058896541595458984
RandomForestClassifier,20,800,0,0.8083333333333333,0.09344267845153809,0.0014302730560302734
RandomForestClassifier,20,800,1,0.8458333333333333,0.08842229843139648,0.0013451576232910156
RandomForestClassifier,20,800,2,0.8333333333333334,0.09148740768432617,0.0012743473052978516
FastRandomForest,20,900,0,0.7481481481481481,1.204167127609253,0.005963802337646484
FastRandomForest,20,900,1,0.7444444444444445,1.242215633392334,0.00654911994934082
FastRandomForest,20,900,2,0.7888888888888889,1.2951900959014893,0.0063779354095458984
RandomForestClassifier,20,900,0,0.8148148148148148,0.09772825241088867,0.0013587474822998047
RandomForestClassifier,20,900,1,0.737037037037037,0.09644198417663574,0.001352071762084961
RandomForestClassifier,20,900,2,0.8,0.09870052337646484,0.0014007091522216797
FastRandomForest,20,1000,0,0.91,0.8844490051269531,0.005931854248046875
FastRandomForest,20,1000,1,0.9033333333333333,0.9761440753936768,0.006807804107666016
FastRandomForest,20,1000,2,0.8633333333333333,0.8342499732971191,0.005650758743286133
RandomForestClassifier,20,1000,0,0.9,0.10422253608703613,0.001302480697631836
RandomForestClassifier,20,1000,1,0.9066666666666666,0.10109901428222656,0.0013468265533447266
RandomForestClassifier,20,1000,2,0.8666666666666667,0.0983281135559082,0.001422882080078125
FastRandomForest,20,1100,0,0.8606060606060606,1.1006884574890137,0.007556915283203125
FastRandomForest,20,1100,1,0.9030303030303031,1.1042749881744385,0.007670879364013672
FastRandomForest,20,1100,2,0.8757575757575757,1.1191399097442627,0.008858919143676758
RandomForestClassifier,20,1100,0,0.8757575757575757,0.1179203987121582,0.0013720989227294922
RandomForestClassifier,20,1100,1,0.906060606060606,0.12333178520202637,0.0014503002166748047
RandomForestClassifier,20,1100,2,0.8727272727272727,0.12213659286499023,0.001417398452758789
FastRandomForest,20,1200,0,0.8361111111111111,1.1592988967895508,0.00846409797668457
FastRandomForest,20,1200,1,0.8583333333333333,1.3139119148254395,0.008474111557006836
FastRandomForest,20,1200,2,0.8361111111111111,1.2087595462799072,0.008701324462890625
RandomForestClassifier,20,1200,0,0.8527777777777777,0.13224077224731445,0.0013740062713623047
RandomForestClassifier,20,1200,1,0.8555555555555555,0.14411306381225586,0.0014426708221435547
RandomForestClassifier,20,1200,2,0.8305555555555556,0.14019441604614258,0.001394033432006836
FastRandomForest,20,1300,0,0.8794871794871795,1.3311669826507568,0.009495019912719727
FastRandomForest,20,1300,1,0.8794871794871795,1.2838635444641113,0.008029937744140625
FastRandomForest,20,1300,2,0.8512820512820513,1.3068718910217285,0.00881505012512207
RandomForestClassifier,20,1300,0,0.8692307692307693,0.13898301124572754,0.0014870166778564453
RandomForestClassifier,20,1300,1,0.8717948717948718,0.1329944133758545,0.0015156269073486328
RandomForestClassifier,20,1300,2,0.8538461538461538,0.13079309463500977,0.0014812946319580078
FastRandomForest,20,1400,0,0.8547619047619047,1.506072998046875,0.010225534439086914
FastRandomForest,20,1400,1,0.861904761904762,1.6254103183746338,0.010427236557006836
FastRandomForest,20,1400,2,0.8571428571428571,1.5235276222229004,0.010326147079467773
RandomForestClassifier,20,1400,0,0.8571428571428571,0.16843318939208984,0.0015223026275634766
