implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,20,100,0,0.7333333333333333,0.12250041961669922,0.0005044937133789062
FastRandomForest,20,100,1,0.8,0.13303184509277344,0.0005578994750976562
FastRandomForest,20,100,2,0.8,0.1545274257659912,0.0005278587341308594
RandomForestClassifier,20,100,0,0.7666666666666667,0.019588232040405273,0.0011188983917236328
RandomForestClassifier,20,100,1,0.8666666666666667,0.019442081451416016,0.0010223388671875
RandomForestClassifier,20,100,2,0.8,0.01971268653869629,0.0009706020355224609
FastRandomForest,20,200,0,0.6333333333333333,0.2915310859680176,0.0011479854583740234
FastRandomForest,20,200,1,0.6666666666666666,0.31575918197631836,0.0012371540069580078
FastRandomForest,20,200,2,0.7666666666666667,0.31070899963378906,0.0012242794036865234
RandomForestClassifier,20,200,0,0.65,0.025452136993408203,0.001064300537109375
RandomForestClassifier,20,200,1,0.7,0.026511192321777344,0.0011096000671386719
RandomForestClassifier,20,200,2,0.8166666666666667,0.028620004653930664,0.0010502338409423828
FastRandomForest,20,300,0,0.8555555555555555,0.3973112106323242,0.002105712890625
FastRandomForest,20,300,1,0.8,0.35387444496154785,0.0018999576568603516
FastRandomForest,20,300,2,0.8444444444444444,0.4328148365020752,0.002183198928833008
RandomForestClassifier,20,300,0,0.8111111111111111,0.035585880279541016,0.0010843276977539062
RandomForestClassifier,20,300,1,0.7777777777777778,0.03516125679016113,0.0010826587677001953
RandomForestClassifier,20,300,2,0.8666666666666667,0.035503387451171875,0.0010607242584228516
FastRandomForest,20,400,0,0.8416666666666667,0.5943176746368408,0.0027761459350585938
FastRandomForest,20,400,1,0.7666666666666667,0.5437848567962646,0.002948284149169922
FastRandomForest,20,400,2,0.725,0.5211870670318604,0.0027725696563720703
RandomForestClassifier,20,400,0,0.85,0.045888423919677734,0.0011584758758544922
RandomForestClassifier,20,400,1,0.8083333333333333,0.04744577407836914,0.001260519027709961
RandomForestClassifier,20,400,2,0.7333333333333333,0.04461956024169922,0.0011792182922363281
FastRandomForest,20,500,0,0.9066666666666666,0.5427103042602539,0.003239870071411133
FastRandomForest,20,500,1,0.8666666666666667,0.5041725635528564,0.003466367721557617
FastRandomForest,20,500,2,0.8466666666666667,0.5442013740539551,0.0032291412353515625
RandomForestClassifier,20,500,0,0.9066666666666666,0.04783129692077637,0.0011637210845947266
RandomForestClassifier,20,500,1,0.8933333333333333,0.05013132095336914,0.0011951923370361328
RandomForestClassifier,20,500,2,0.84,0.05148148536682129,0.0011725425720214844
FastRandomForest,20,600,0,0.8722222222222222,0.7641706466674805,0.0050237178802490234
FastRandomForest,20,600,1,0.85,0.6771843433380127,0.0043659210205078125
FastRandomForest,20,600,2,0.8444444444444444,0.6047153472900391,0.004130840301513672
RandomForestClassifier,20,600,0,0.8555555555555555,0.06366801261901855,0.001184225082397461
RandomForestClassifier,20,600,1,0.85,0.0639810562133789,0.0011718273162841797
RandomForestClassifier,20,600,2,0.8444444444444444,0.05615997314453125,0.0011630058288574219
