implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,10,2000,0,0.8816666666666667,0.582658052444458,0.00974583625793457
FastRandomForest,10,2000,1,0.9016666666666666,0.630579948425293,0.00975489616394043
FastRandomForest,10,2000,2,0.8983333333333333,0.6197354793548584,0.010065555572509766
QuantFastRandomForest,10,2000,0,0.8716666666666667,0.6185963153839111,0.011471033096313477
QuantFastRandomForest,10,2000,1,0.9066666666666666,0.6132042407989502,0.011455059051513672
QuantFastRandomForest,10,2000,2,0.8966666666666666,0.6022026538848877,0.011365890502929688
RandomForestClassifier,10,2000,0,0.8866666666666667,0.07309603691101074,0.0010209083557128906
RandomForestClassifier,10,2000,1,0.9016666666666666,0.07062578201293945,0.0009648799896240234
RandomForestClassifier,10,2000,2,0.8966666666666666,0.06905651092529297,0.0009922981262207031
FastRandomForest,20,2000,0,0.8533333333333334,1.145315170288086,0.01069021224975586
FastRandomForest,20,2000,1,0.8683333333333333,1.1721827983856201,0.010933160781860352
FastRandomForest,20,2000,2,0.88,1.190455675125122,0.010956525802612305
QuantFastRandomForest,20,2000,0,0.87,1.1771490573883057,0.012646913528442383
QuantFastRandomForest,20,2000,1,0.8616666666666667,1.1718699932098389,0.012576818466186523
QuantFastRandomForest,20,2000,2,0.88,1.1464619636535645,0.012371540069580078
RandomForestClassifier,20,2000,0,0.8716666666666667,0.14229416847229004,0.000993490219116211
RandomForestClassifier,20,2000,1,0.865,0.14592528343200684,0.001087188720703125
RandomForestClassifier,20,2000,2,0.88,0.14308452606201172,0.0011758804321289062
FastRandomForest,30,2000,0,0.8566666666666667,1.8730597496032715,0.010867595672607422
FastRandomForest,30,2000,1,0.8883333333333333,1.8819384574890137,0.011049270629882812
FastRandomForest,30,2000,2,0.8783333333333333,1.7439987659454346,0.011061429977416992
QuantFastRandomForest,30,2000,0,0.845,1.8275575637817383,0.012765169143676758
QuantFastRandomForest,30,2000,1,0.8716666666666667,1.948479413986206,0.013288259506225586
QuantFastRandomForest,30,2000,2,0.8583333333333333,1.817991018295288,0.012873172760009766
RandomForestClassifier,30,2000,0,0.8733333333333333,0.21667981147766113,0.001081228256225586
RandomForestClassifier,30,2000,1,0.8833333333333333,0.2203960418701172,0.0010495185852050781
RandomForestClassifier,30,2000,2,0.86,0.21995067596435547,0.0011279582977294922
FastRandomForest,40,2000,0,0.8516666666666667,2.633557081222534,0.011376619338989258
FastRandomForest,40,2000,1,0.8166666666666667,2.548166275024414,0.011134624481201172
FastRandomForest,40,2000,2,0.8233333333333334,2.6854448318481445,0.011482715606689453
QuantFastRandomForest,40,2000,0,0.84,2.4908525943756104,0.013366460800170898
QuantFastRandomForest,40,2000,1,0.8183333333333334,2.6042866706848145,0.013147115707397461
QuantFastRandomForest,40,2000,2,0.8466666666666667,2.5510923862457275,0.013117313385009766
RandomForestClassifier,40,2000,0,0.8133333333333334,0.2944052219390869,0.0011138916015625
RandomForestClassifier,40,2000,1,0.8083333333333333,0.2907392978668213,0.006841182708740234
RandomForestClassifier,40,2000,2,0.8466666666666667,0.2923293113708496,0.0011169910430908203
