implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,20,1000,0,0.9166666666666666,0.5588641166687012,0.004605293273925781
FastRandomForest,20,1000,1,0.8766666666666667,0.5125396251678467,0.004599094390869141
FastRandomForest,20,1000,2,0.8866666666666667,0.47232484817504883,0.004188060760498047
QuantFastRandomForest,20,1000,0,0.91,0.5478136539459229,0.005198955535888672
QuantFastRandomForest,20,1000,1,0.9133333333333333,0.5301127433776855,0.0053327083587646484
QuantFastRandomForest,20,1000,2,0.87,0.5006511211395264,0.004994392395019531
RandomForestClassifier,20,1000,0,0.9233333333333333,0.06125664710998535,0.0008916854858398438
RandomForestClassifier,20,1000,1,0.89,0.0599672794342041,0.0008158683776855469
RandomForestClassifier,20,1000,2,0.8933333333333333,0.05382561683654785,0.0007841587066650391
FastRandomForest,20,2000,0,0.8716666666666667,1.076003074645996,0.010367155075073242
FastRandomForest,20,2000,1,0.8833333333333333,1.1186492443084717,0.01062631607055664
FastRandomForest,20,2000,2,0.8633333333333333,1.1485888957977295,0.010929107666015625
QuantFastRandomForest,20,2000,0,0.8766666666666667,1.0710198879241943,0.011928558349609375
QuantFastRandomForest,20,2000,1,0.8766666666666667,1.097836971282959,0.012023210525512695
QuantFastRandomForest,20,2000,2,0.8616666666666667,1.1006886959075928,0.011823892593383789
RandomForestClassifier,20,2000,0,0.89,0.1331930160522461,0.0010790824890136719
RandomForestClassifier,20,2000,1,0.8866666666666667,0.13213109970092773,0.0009922981262207031
RandomForestClassifier,20,2000,2,0.86,0.13948726654052734,0.0009877681732177734
FastRandomForest,20,3000,0,0.8622222222222222,1.6989810466766357,0.016902446746826172
FastRandomForest,20,3000,1,0.8755555555555555,1.7633349895477295,0.017304182052612305
FastRandomForest,20,3000,2,0.8544444444444445,1.647341012954712,0.016793012619018555
QuantFastRandomForest,20,3000,0,0.8766666666666667,1.70497727394104,0.019318819046020508
QuantFastRandomForest,20,3000,1,0.8677777777777778,1.6878106594085693,0.020421266555786133
QuantFastRandomForest,20,3000,2,0.86,1.7213249206542969,0.019472599029541016
RandomForestClassifier,20,3000,0,0.8744444444444445,0.221876859664917,0.0012655258178710938
RandomForestClassifier,20,3000,1,0.8777777777777778,0.22215914726257324,0.0012276172637939453
RandomForestClassifier,20,3000,2,0.8688888888888889,0.221588134765625,0.0011970996856689453
FastRandomForest,20,4000,0,0.9225,1.7408924102783203,0.023007869720458984
FastRandomForest,20,4000,1,0.9308333333333333,1.6706523895263672,0.02271246910095215
FastRandomForest,20,4000,2,0.9191666666666667,1.7213046550750732,0.024214744567871094
QuantFastRandomForest,20,4000,0,0.925,1.6782479286193848,0.027372360229492188
QuantFastRandomForest,20,4000,1,0.9216666666666666,1.690342664718628,0.026986360549926758
QuantFastRandomForest,20,4000,2,0.9283333333333333,1.7346477508544922,0.02733612060546875
RandomForestClassifier,20,4000,0,0.9208333333333333,0.31707143783569336,0.0013539791107177734
RandomForestClassifier,20,4000,1,0.9258333333333333,0.3155405521392822,0.0013349056243896484
RandomForestClassifier,20,4000,2,0.9383333333333334,0.3132808208465576,0.0015311241149902344
FastRandomForest,20,5000,0,0.9053333333333333,1.8714206218719482,0.02889728546142578
FastRandomForest,20,5000,1,0.916,1.9924485683441162,0.030398130416870117
FastRandomForest,20,5000,2,0.9053333333333333,2.040172576904297,0.02875661849975586
QuantFastRandomForest,20,5000,0,0.9,1.927617073059082,0.03426361083984375
QuantFastRandomForest,20,5000,1,0.9166666666666666,1.9273905754089355,0.03473830223083496
QuantFastRandomForest,20,5000,2,0.9186666666666666,2.052163600921631,0.03360891342163086
RandomForestClassifier,20,5000,0,0.9026666666666666,0.3901195526123047,0.0015380382537841797
RandomForestClassifier,20,5000,1,0.9193333333333333,0.39148712158203125,0.0014774799346923828
RandomForestClassifier,20,5000,2,0.916,0.4020862579345703,0.0015299320220947266
FastRandomForest,20,6000,0,0.89,2.5063421726226807,0.03667807579040527
FastRandomForest,20,6000,1,0.8955555555555555,2.4649300575256348,0.03732156753540039
FastRandomForest,20,6000,2,0.9,2.587690591812134,0.03752636909484863
QuantFastRandomForest,20,6000,0,0.8894444444444445,2.5293424129486084,0.042409658432006836
QuantFastRandomForest,20,6000,1,0.8894444444444445,2.4951071739196777,0.042569875717163086
QuantFastRandomForest,20,6000,2,0.9005555555555556,2.582775592803955,0.04162764549255371
RandomForestClassifier,20,6000,0,0.8977777777777778,0.4918065071105957,0.0017852783203125
RandomForestClassifier,20,6000,1,0.8916666666666667,0.4880192279815674,0.001718759536743164
RandomForestClassifier,20,6000,2,0.8944444444444445,0.48885250091552734,0.0017242431640625
