implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,20,100,0,0.8666666666666667,0.14176344871520996,0.0005316734313964844
FastRandomForest,20,100,1,0.9333333333333333,0.1368255615234375,0.0005800724029541016
FastRandomForest,20,100,2,0.7,0.16065216064453125,0.0005841255187988281
QuantFastRandomForest,20,100,0,0.7,0.12727022171020508,0.0006008148193359375
QuantFastRandomForest,20,100,1,0.8333333333333334,0.14555120468139648,0.0006234645843505859
QuantFastRandomForest,20,100,2,0.7333333333333333,0.14496064186096191,0.0006256103515625
RandomForestClassifier,20,100,0,0.8333333333333334,0.019750118255615234,0.001051187515258789
RandomForestClassifier,20,100,1,0.8333333333333334,0.019441843032836914,0.000993490219116211
RandomForestClassifier,20,100,2,0.8333333333333334,0.020009279251098633,0.0010766983032226562
FastRandomForest,20,200,0,0.6333333333333333,0.31365156173706055,0.001171112060546875
FastRandomForest,20,200,1,0.65,0.32987451553344727,0.0013034343719482422
FastRandomForest,20,200,2,0.7833333333333333,0.35254359245300293,0.0013082027435302734
QuantFastRandomForest,20,200,0,0.7,0.3128647804260254,0.001322031021118164
QuantFastRandomForest,20,200,1,0.7333333333333333,0.3189847469329834,0.0013747215270996094
QuantFastRandomForest,20,200,2,0.8,0.3431384563446045,0.0015025138854980469
RandomForestClassifier,20,200,0,0.6333333333333333,0.029094934463500977,0.0011162757873535156
RandomForestClassifier,20,200,1,0.6333333333333333,0.028902292251586914,0.0010883808135986328
RandomForestClassifier,20,200,2,0.7333333333333333,0.02875685691833496,0.0010612010955810547
FastRandomForest,20,300,0,0.7777777777777778,0.3721442222595215,0.002070903778076172
FastRandomForest,20,300,1,0.8222222222222222,0.38970041275024414,0.0020263195037841797
FastRandomForest,20,300,2,0.8666666666666667,0.4119834899902344,0.002020120620727539
QuantFastRandomForest,20,300,0,0.8111111111111111,0.3527824878692627,0.0022766590118408203
QuantFastRandomForest,20,300,1,0.8111111111111111,0.3717069625854492,0.002269744873046875
QuantFastRandomForest,20,300,2,0.8888888888888888,0.422149658203125,0.0024199485778808594
RandomForestClassifier,20,300,0,0.7777777777777778,0.03603720664978027,0.0010800361633300781
RandomForestClassifier,20,300,1,0.7777777777777778,0.0363764762878418,0.0010714530944824219
RandomForestClassifier,20,300,2,0.9222222222222223,0.03674674034118652,0.0010559558868408203
FastRandomForest,20,400,0,0.85,0.5811007022857666,0.002854585647583008
FastRandomForest,20,400,1,0.8166666666666667,0.5406615734100342,0.0034401416778564453
FastRandomForest,20,400,2,0.6833333333333333,0.5739338397979736,0.0030922889709472656
QuantFastRandomForest,20,400,0,0.8333333333333334,0.558161735534668,0.0034008026123046875
QuantFastRandomForest,20,400,1,0.8083333333333333,0.5795888900756836,0.003263235092163086
QuantFastRandomForest,20,400,2,0.725,0.5566701889038086,0.0033419132232666016
RandomForestClassifier,20,400,0,0.85,0.045722007751464844,0.0010981559753417969
RandomForestClassifier,20,400,1,0.775,0.044703006744384766,0.0012059211730957031
RandomForestClassifier,20,400,2,0.7416666666666667,0.0464320182800293,0.0011148452758789062
FastRandomForest,20,500,0,0.88,0.48705339431762695,0.003133058547973633
FastRandomForest,20,500,1,0.8933333333333333,0.459977388381958,0.0032510757446289062
FastRandomForest,20,500,2,0.88,0.5311048030853271,0.0033898353576660156
QuantFastRandomForest,20,500,0,0.9133333333333333,0.4483757019042969,0.003391265869140625
QuantFastRandomForest,20,500,1,0.88,0.4986691474914551,0.0035521984100341797
QuantFastRandomForest,20,500,2,0.8733333333333333,0.45711803436279297,0.003485441207885742
RandomForestClassifier,20,500,0,0.9,0.0486295223236084,0.0011394023895263672
RandomForestClassifier,20,500,1,0.8866666666666667,0.04523515701293945,0.0011420249938964844
RandomForestClassifier,20,500,2,0.88,0.04781484603881836,0.001125335693359375
FastRandomForest,20,600,0,0.9055555555555556,0.6606390476226807,0.004439592361450195
FastRandomForest,20,600,1,0.8388888888888889,0.6552138328552246,0.004479885101318359
FastRandomForest,20,600,2,0.8277777777777777,0.6110053062438965,0.00432276725769043
QuantFastRandomForest,20,600,0,0.8722222222222222,0.6863172054290771,0.005045413970947266
QuantFastRandomForest,20,600,1,0.8277777777777777,0.646815299987793,0.004987239837646484
QuantFastRandomForest,20,600,2,0.8222222222222222,0.5996277332305908,0.0047855377197265625
RandomForestClassifier,20,600,0,0.8388888888888889,0.062384605407714844,0.0011532306671142578
RandomForestClassifier,20,600,1,0.8611111111111112,0.06266355514526367,0.001161813735961914
RandomForestClassifier,20,600,2,0.8388888888888889,0.060219764709472656,0.0011553764343261719
