implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,20,1000,0,0.8866666666666667,0.88916015625,0.007242679595947266
FastRandomForest,20,1000,1,0.8933333333333333,0.876840353012085,0.007272481918334961
FastRandomForest,20,1000,2,0.89,0.7595851421356201,0.0068204402923583984
QuantFastRandomForest,20,1000,0,0.9166666666666666,0.8503453731536865,0.008207321166992188
QuantFastRandomForest,20,1000,1,0.8933333333333333,0.917109489440918,0.008491277694702148
QuantFastRandomForest,20,1000,2,0.89,0.8370213508605957,0.0077037811279296875
RandomForestClassifier,20,1000,0,0.9066666666666666,0.09930968284606934,0.0013446807861328125
RandomForestClassifier,20,1000,1,0.8866666666666667,0.098724365234375,0.0012962818145751953
RandomForestClassifier,20,1000,2,0.89,0.09194183349609375,0.0012707710266113281
FastRandomForest,20,2000,0,0.8816666666666667,1.8136794567108154,0.016663312911987305
FastRandomForest,20,2000,1,0.8816666666666667,1.7951109409332275,0.016927480697631836
FastRandomForest,20,2000,2,0.8733333333333333,1.7601251602172852,0.0172579288482666
QuantFastRandomForest,20,2000,0,0.88,1.8644366264343262,0.020342588424682617
QuantFastRandomForest,20,2000,1,0.8966666666666666,1.7905068397521973,0.019635915756225586
QuantFastRandomForest,20,2000,2,0.8766666666666667,1.7965705394744873,0.018839597702026367
RandomForestClassifier,20,2000,0,0.87,0.21881890296936035,0.0016269683837890625
RandomForestClassifier,20,2000,1,0.9016666666666666,0.21567368507385254,0.0015616416931152344
RandomForestClassifier,20,2000,2,0.8966666666666666,0.20472049713134766,0.0015540122985839844
FastRandomForest,20,3000,0,0.8788888888888889,2.9426519870758057,0.026937246322631836
FastRandomForest,20,3000,1,0.8722222222222222,2.867000102996826,0.02692580223083496
FastRandomForest,20,3000,2,0.8477777777777777,2.7992639541625977,0.02710437774658203
QuantFastRandomForest,20,3000,0,0.89,2.805053234100342,0.0315241813659668
QuantFastRandomForest,20,3000,1,0.8588888888888889,2.834242582321167,0.03169536590576172
QuantFastRandomForest,20,3000,2,0.8577777777777778,2.8267343044281006,0.031162023544311523
RandomForestClassifier,20,3000,0,0.8744444444444445,0.35508108139038086,0.0019865036010742188
RandomForestClassifier,20,3000,1,0.8711111111111111,0.35813236236572266,0.0019421577453613281
RandomForestClassifier,20,3000,2,0.8722222222222222,0.3603949546813965,0.0019345283508300781
FastRandomForest,20,4000,0,0.9191666666666667,2.544212579727173,0.037763357162475586
FastRandomForest,20,4000,1,0.9116666666666666,2.5928518772125244,0.037209510803222656
FastRandomForest,20,4000,2,0.9316666666666666,2.620175838470459,0.03755784034729004
QuantFastRandomForest,20,4000,0,0.9241666666666667,2.771477699279785,0.04439687728881836
QuantFastRandomForest,20,4000,1,0.9291666666666667,2.765566110610962,0.04386281967163086
QuantFastRandomForest,20,4000,2,0.9125,2.8700101375579834,0.04302024841308594
RandomForestClassifier,20,4000,0,0.9266666666666666,0.4924178123474121,0.002151966094970703
RandomForestClassifier,20,4000,1,0.93,0.5010950565338135,0.002130270004272461
RandomForestClassifier,20,4000,2,0.935,0.510235071182251,0.002105712890625
FastRandomForest,20,5000,0,0.9126666666666666,2.894272804260254,0.04603838920593262
FastRandomForest,20,5000,1,0.9153333333333333,2.8764853477478027,0.04644894599914551
FastRandomForest,20,5000,2,0.9166666666666666,3.0779168605804443,0.04803037643432617
QuantFastRandomForest,20,5000,0,0.91,3.1811633110046387,0.05506730079650879
QuantFastRandomForest,20,5000,1,0.9106666666666666,3.218041181564331,0.05479860305786133
QuantFastRandomForest,20,5000,2,0.9273333333333333,3.3498048782348633,0.05445289611816406
RandomForestClassifier,20,5000,0,0.902,0.6647791862487793,0.002585172653198242
RandomForestClassifier,20,5000,1,0.9233333333333333,0.6328079700469971,0.002393007278442383
RandomForestClassifier,20,5000,2,0.9166666666666666,0.6337718963623047,0.0024433135986328125
FastRandomForest,20,6000,0,0.8883333333333333,3.7922542095184326,0.06830453872680664
FastRandomForest,20,6000,1,0.8927777777777778,3.7576098442077637,0.06049370765686035
FastRandomForest,20,6000,2,0.8972222222222223,3.8770079612731934,0.06077075004577637
QuantFastRandomForest,20,6000,0,0.8894444444444445,4.057056665420532,0.06849360466003418
QuantFastRandomForest,20,6000,1,0.8916666666666667,3.9578940868377686,0.07035136222839355
QuantFastRandomForest,20,6000,2,0.9016666666666666,4.141435146331787,0.0660104751586914
RandomForestClassifier,20,6000,0,0.8938888888888888,0.7750101089477539,0.002831697463989258
RandomForestClassifier,20,6000,1,0.8927777777777778,0.8323640823364258,0.0027382373809814453
RandomForestClassifier,20,6000,2,0.8977777777777778,0.7963771820068359,0.002737283706665039
