implementation,n_features,n_samples,seed,accuracy,train_time,test_time
OurRandomForest,20,100,0,0.8,6.997714519500732,0.002933979034423828
OurRandomForest,20,100,1,0.9,7.410660028457642,0.003119230270385742
OurRandomForest,20,100,2,0.8,6.927062034606934,0.0029489994049072266
OurRandomForest,20,100,3,0.8,7.292039155960083,0.0030226707458496094
OurRandomForest,20,100,4,0.7666666666666667,7.294836759567261,0.0029878616333007812
FastRandomForest,20,100,0,0.8,0.7805147171020508,0.0026092529296875
FastRandomForest,20,100,1,0.8666666666666667,0.8614635467529297,0.0026509761810302734
FastRandomForest,20,100,2,0.8,0.7408249378204346,0.002561807632446289
FastRandomForest,20,100,3,0.8,0.8237006664276123,0.0027332305908203125
FastRandomForest,20,100,4,0.7666666666666667,0.8219575881958008,0.0026540756225585938
OurRandomForest,10,100,0,0.9,3.8285608291625977,0.003139972686767578
OurRandomForest,10,100,1,0.8666666666666667,3.9912514686584473,0.0031037330627441406
OurRandomForest,10,100,2,0.7,3.3804798126220703,0.0029129981994628906
OurRandomForest,10,100,3,0.8,3.4051027297973633,0.002912282943725586
OurRandomForest,10,100,4,0.9,3.760899066925049,0.0030417442321777344
FastRandomForest,10,100,0,0.8666666666666667,0.48810887336730957,0.002877473831176758
FastRandomForest,10,100,1,0.9333333333333333,0.5418505668640137,0.0028786659240722656
FastRandomForest,10,100,2,0.7333333333333333,0.3833754062652588,0.0026063919067382812
FastRandomForest,10,100,3,0.8333333333333334,0.45795679092407227,0.002776622772216797
FastRandomForest,10,100,4,0.8666666666666667,0.4660489559173584,0.002798795700073242
