implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,10,10000,0,0.931,18.84342622756958,0.5477924346923828
FastRandomForest,10,10000,1,0.938,19.20281171798706,0.5441927909851074
FastRandomForest,10,10000,2,0.9456666666666667,19.4001886844635,0.5590784549713135
FastRandomForest,10,10000,3,0.9386666666666666,19.09870195388794,0.5762696266174316
FastRandomForest,10,10000,4,0.926,18.56299877166748,0.548410177230835
BinnedFastRandomForest,10,10000,0,0.93,14.69134783744812,0.5755860805511475
BinnedFastRandomForest,10,10000,1,0.9383333333333334,15.000241756439209,0.560126781463623
BinnedFastRandomForest,10,10000,2,0.942,15.414498805999756,0.5755288600921631
BinnedFastRandomForest,10,10000,3,0.9376666666666666,14.937939167022705,0.5671122074127197
BinnedFastRandomForest,10,10000,4,0.931,14.724663972854614,0.5664989948272705
RandomForestClassifier,10,10000,0,0.9303333333333333,4.199090480804443,0.019185543060302734
RandomForestClassifier,10,10000,1,0.9386666666666666,4.11736536026001,0.01921248435974121
RandomForestClassifier,10,10000,2,0.9476666666666667,4.2149622440338135,0.019277572631835938
RandomForestClassifier,10,10000,3,0.9433333333333334,4.1979453563690186,0.019441843032836914
RandomForestClassifier,10,10000,4,0.927,4.168757200241089,0.01913905143737793
FastRandomForest,20,10000,0,0.916,42.58956027030945,0.570549726486206
FastRandomForest,20,10000,1,0.9106666666666666,42.594502210617065,0.5751299858093262
FastRandomForest,20,10000,2,0.916,42.02240610122681,0.6005666255950928
FastRandomForest,20,10000,3,0.9096666666666666,41.95061540603638,0.5747950077056885
FastRandomForest,20,10000,4,0.923,42.08802318572998,0.5911281108856201
BinnedFastRandomForest,20,10000,0,0.9203333333333333,35.24645137786865,0.5994372367858887
BinnedFastRandomForest,20,10000,1,0.9183333333333333,35.23207116127014,0.5958797931671143
BinnedFastRandomForest,20,10000,2,0.917,34.72543716430664,0.599644660949707
BinnedFastRandomForest,20,10000,3,0.9136666666666666,34.72514748573303,0.5931084156036377
BinnedFastRandomForest,20,10000,4,0.9256666666666666,35.064401388168335,0.6183021068572998
RandomForestClassifier,20,10000,0,0.915,8.544036865234375,0.0211334228515625
RandomForestClassifier,20,10000,1,0.909,8.547657012939453,0.021080493927001953
RandomForestClassifier,20,10000,2,0.9193333333333333,8.517619848251343,0.021236896514892578
RandomForestClassifier,20,10000,3,0.915,8.555572748184204,0.020947933197021484
RandomForestClassifier,20,10000,4,0.9273333333333333,8.535510778427124,0.02126145362854004
