implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,20,1000,0,0.9166666666666666,0.5395200252532959,0.004574298858642578
FastRandomForest,20,1000,1,0.88,0.5317769050598145,0.004858493804931641
FastRandomForest,20,1000,2,0.9033333333333333,0.4764444828033447,0.004374265670776367
QuantFastRandomForest,20,1000,0,0.9266666666666666,0.5503394603729248,0.00537109375
QuantFastRandomForest,20,1000,1,0.8766666666666667,0.5519511699676514,0.005419492721557617
QuantFastRandomForest,20,1000,2,0.91,0.47168707847595215,0.004772663116455078
RandomForestClassifier,20,1000,0,0.91,0.06242728233337402,0.0008594989776611328
RandomForestClassifier,20,1000,1,0.8933333333333333,0.0626373291015625,0.0008192062377929688
RandomForestClassifier,20,1000,2,0.8866666666666667,0.05674099922180176,0.0008065700531005859
FastRandomForest,20,2000,0,0.8683333333333333,1.1051557064056396,0.010447502136230469
FastRandomForest,20,2000,1,0.9,1.134624719619751,0.010868310928344727
FastRandomForest,20,2000,2,0.8633333333333333,1.1224682331085205,0.010688543319702148
QuantFastRandomForest,20,2000,0,0.8716666666666667,1.1549334526062012,0.012258529663085938
QuantFastRandomForest,20,2000,1,0.9016666666666666,1.1077649593353271,0.012149333953857422
QuantFastRandomForest,20,2000,2,0.8666666666666667,1.0993657112121582,0.011728525161743164
RandomForestClassifier,20,2000,0,0.875,0.14125299453735352,0.0011239051818847656
RandomForestClassifier,20,2000,1,0.8883333333333333,0.1344895362854004,0.0009949207305908203
RandomForestClassifier,20,2000,2,0.8716666666666667,0.1358184814453125,0.001020193099975586
FastRandomForest,20,3000,0,0.8722222222222222,1.731024980545044,0.017009973526000977
FastRandomForest,20,3000,1,0.8866666666666667,1.7960379123687744,0.017255306243896484
FastRandomForest,20,3000,2,0.8544444444444445,1.7505786418914795,0.01792454719543457
QuantFastRandomForest,20,3000,0,0.8788888888888889,1.6664621829986572,0.019961833953857422
QuantFastRandomForest,20,3000,1,0.8622222222222222,1.7903387546539307,0.020086050033569336
QuantFastRandomForest,20,3000,2,0.8688888888888889,1.6950998306274414,0.019576072692871094
RandomForestClassifier,20,3000,0,0.8644444444444445,0.21636557579040527,0.001230001449584961
RandomForestClassifier,20,3000,1,0.8844444444444445,0.22265934944152832,0.0012285709381103516
RandomForestClassifier,20,3000,2,0.8688888888888889,0.22214174270629883,0.0012862682342529297
FastRandomForest,20,4000,0,0.9216666666666666,1.669558048248291,0.023346900939941406
FastRandomForest,20,4000,1,0.9183333333333333,1.6894798278808594,0.024005651473999023
FastRandomForest,20,4000,2,0.9325,1.6391503810882568,0.023903369903564453
QuantFastRandomForest,20,4000,0,0.93,1.7154858112335205,0.02798771858215332
QuantFastRandomForest,20,4000,1,0.93,1.7122488021850586,0.027828216552734375
QuantFastRandomForest,20,4000,2,0.9341666666666667,1.7220370769500732,0.02701401710510254
RandomForestClassifier,20,4000,0,0.9208333333333333,0.32085418701171875,0.0013275146484375
RandomForestClassifier,20,4000,1,0.9325,0.3208186626434326,0.0013306140899658203
RandomForestClassifier,20,4000,2,0.925,0.3186330795288086,0.0013289451599121094
FastRandomForest,20,5000,0,0.9086666666666666,1.927098035812378,0.029732465744018555
FastRandomForest,20,5000,1,0.9113333333333333,1.9547069072723389,0.029712438583374023
FastRandomForest,20,5000,2,0.91,1.9952590465545654,0.029818058013916016
QuantFastRandomForest,20,5000,0,0.906,1.9219839572906494,0.03470587730407715
QuantFastRandomForest,20,5000,1,0.912,1.963019609451294,0.034401655197143555
QuantFastRandomForest,20,5000,2,0.9173333333333333,2.028548240661621,0.03354144096374512
RandomForestClassifier,20,5000,0,0.908,0.3910071849822998,0.0014982223510742188
RandomForestClassifier,20,5000,1,0.9046666666666666,0.3914926052093506,0.0014963150024414062
RandomForestClassifier,20,5000,2,0.9126666666666666,0.3997063636779785,0.0015234947204589844
FastRandomForest,20,6000,0,0.8972222222222223,2.4831738471984863,0.03745698928833008
FastRandomForest,20,6000,1,0.9,2.4349522590637207,0.037326812744140625
FastRandomForest,20,6000,2,0.905,2.5216901302337646,0.03762936592102051
QuantFastRandomForest,20,6000,0,0.8877777777777778,2.496797561645508,0.042539358139038086
QuantFastRandomForest,20,6000,1,0.8961111111111111,2.4962050914764404,0.04319405555725098
QuantFastRandomForest,20,6000,2,0.8961111111111111,2.4867734909057617,0.0424344539642334
RandomForestClassifier,20,6000,0,0.8966666666666666,0.4949955940246582,0.0017423629760742188
RandomForestClassifier,20,6000,1,0.8922222222222222,0.4926166534423828,0.0016794204711914062
RandomForestClassifier,20,6000,2,0.8966666666666666,0.49253344535827637,0.001749277114868164
FastRandomForest,20,7000,0,0.9242857142857143,2.7209227085113525,0.041498661041259766
FastRandomForest,20,7000,1,0.9247619047619048,2.708444356918335,0.04207038879394531
FastRandomForest,20,7000,2,0.9152380952380952,2.579556465148926,0.04289984703063965
QuantFastRandomForest,20,7000,0,0.919047619047619,2.6475985050201416,0.047612667083740234
QuantFastRandomForest,20,7000,1,0.9214285714285714,2.6930367946624756,0.05007219314575195
QuantFastRandomForest,20,7000,2,0.9185714285714286,2.6495723724365234,0.04940533638000488
RandomForestClassifier,20,7000,0,0.9219047619047619,0.5670764446258545,0.0018508434295654297
RandomForestClassifier,20,7000,1,0.9266666666666666,0.5897490978240967,0.001779317855834961
RandomForestClassifier,20,7000,2,0.9161904761904762,0.571509838104248,0.0018930435180664062
FastRandomForest,20,8000,0,0.9358333333333333,2.949968099594116,0.048575401306152344
FastRandomForest,20,8000,1,0.9366666666666666,2.935971260070801,0.04960012435913086
FastRandomForest,20,8000,2,0.9383333333333334,2.9147729873657227,0.04810476303100586
QuantFastRandomForest,20,8000,0,0.9379166666666666,2.9887990951538086,0.05659055709838867
QuantFastRandomForest,20,8000,1,0.9370833333333334,2.953768491744995,0.05640769004821777
QuantFastRandomForest,20,8000,2,0.9370833333333334,2.8578171730041504,0.054715633392333984
RandomForestClassifier,20,8000,0,0.9491666666666667,0.6492235660552979,0.0019273757934570312
RandomForestClassifier,20,8000,1,0.93625,0.6618764400482178,0.001985311508178711
RandomForestClassifier,20,8000,2,0.9370833333333334,0.6608371734619141,0.001956939697265625
FastRandomForest,20,9000,0,0.9274074074074075,3.2535111904144287,0.06008505821228027
FastRandomForest,20,9000,1,0.9248148148148149,3.3544564247131348,0.05638861656188965
FastRandomForest,20,9000,2,0.9222222222222223,3.165750503540039,0.05606889724731445
QuantFastRandomForest,20,9000,0,0.9214814814814815,3.2318923473358154,0.06288671493530273
QuantFastRandomForest,20,9000,1,0.9292592592592592,3.3014943599700928,0.06579017639160156
QuantFastRandomForest,20,9000,2,0.9248148148148149,3.2248494625091553,0.06272721290588379
RandomForestClassifier,20,9000,0,0.9196296296296296,0.7509746551513672,0.002126455307006836
RandomForestClassifier,20,9000,1,0.9281481481481482,0.7639389038085938,0.0021500587463378906
RandomForestClassifier,20,9000,2,0.9266666666666666,0.7363278865814209,0.002202749252319336
FastRandomForest,20,10000,0,0.9356666666666666,3.5810940265655518,0.06147170066833496
FastRandomForest,20,10000,1,0.926,3.4557511806488037,0.06748557090759277
FastRandomForest,20,10000,2,0.929,3.4110782146453857,0.060677528381347656
QuantFastRandomForest,20,10000,0,0.9323333333333333,3.509773015975952,0.07198047637939453
