implementation,n_features,n_samples,seed,accuracy,train_time,test_time
OurFastRandomForest,20,100,0,0.8666666666666667,0.4328927993774414,0.0027098655700683594
OurFastRandomForest,20,100,1,0.8666666666666667,0.44942355155944824,0.0028734207153320312
OurFastRandomForest,20,100,2,0.8,0.4726114273071289,0.002796173095703125
OurFastRandomForest,20,100,3,0.7333333333333333,0.4185316562652588,0.00360107421875
OurFastRandomForest,20,100,4,0.7666666666666667,0.4090092182159424,0.0031528472900390625
RandomForestClassifier,20,100,0,0.7333333333333333,0.019945621490478516,0.001148223876953125
RandomForestClassifier,20,100,1,0.8666666666666667,0.019994735717773438,0.0013775825500488281
RandomForestClassifier,20,100,2,0.8666666666666667,0.020473003387451172,0.0010495185852050781
OurFastRandomForest,20,200,0,0.7666666666666667,0.7583117485046387,0.007052421569824219
OurFastRandomForest,20,200,1,0.75,0.819504976272583,0.007582664489746094
OurFastRandomForest,20,200,2,0.7666666666666667,0.8503718376159668,0.007580995559692383
OurFastRandomForest,20,200,3,0.8,0.7795248031616211,0.006999492645263672
OurFastRandomForest,20,200,4,0.8833333333333333,0.7827656269073486,0.0073049068450927734
RandomForestClassifier,20,200,0,0.65,0.02730417251586914,0.0011749267578125
RandomForestClassifier,20,200,1,0.75,0.026385784149169922,0.0011196136474609375
RandomForestClassifier,20,200,2,0.75,0.02789592742919922,0.0011820793151855469
OurFastRandomForest,20,300,0,0.8444444444444444,0.9184095859527588,0.011205673217773438
OurFastRandomForest,20,300,1,0.8777777777777778,0.9095170497894287,0.010811805725097656
OurFastRandomForest,20,300,2,0.8777777777777778,0.958235502243042,0.010950088500976562
OurFastRandomForest,20,300,3,0.8888888888888888,0.9386270046234131,0.011029958724975586
OurFastRandomForest,20,300,4,0.8666666666666667,0.8720817565917969,0.011019468307495117
RandomForestClassifier,20,300,0,0.8,0.03650641441345215,0.0012662410736083984
RandomForestClassifier,20,300,1,0.8333333333333334,0.03613924980163574,0.0011179447174072266
RandomForestClassifier,20,300,2,0.8888888888888888,0.03826332092285156,0.0011420249938964844
OurFastRandomForest,20,400,0,0.9083333333333333,1.4664068222045898,0.015894174575805664
OurFastRandomForest,20,400,1,0.775,1.3539683818817139,0.0157468318939209
OurFastRandomForest,20,400,2,0.75,1.2292284965515137,0.01661849021911621
OurFastRandomForest,20,400,3,0.8833333333333333,1.332615613937378,0.016131162643432617
OurFastRandomForest,20,400,4,0.8583333333333333,1.3089289665222168,0.016917943954467773
RandomForestClassifier,20,400,0,0.875,0.04884219169616699,0.0011930465698242188
RandomForestClassifier,20,400,1,0.75,0.04634213447570801,0.0011794567108154297
RandomForestClassifier,20,400,2,0.7833333333333333,0.04577159881591797,0.0011677742004394531
OurFastRandomForest,20,500,0,0.9133333333333333,1.2357072830200195,0.01925063133239746
OurFastRandomForest,20,500,1,0.9066666666666666,1.2008447647094727,0.01848769187927246
OurFastRandomForest,20,500,2,0.8733333333333333,1.1710679531097412,0.018462181091308594
OurFastRandomForest,20,500,3,0.9333333333333333,1.2181086540222168,0.018042802810668945
OurFastRandomForest,20,500,4,0.92,1.2619998455047607,0.018856287002563477
RandomForestClassifier,20,500,0,0.88,0.04681515693664551,0.0011398792266845703
RandomForestClassifier,20,500,1,0.8866666666666667,0.046480417251586914,0.0012319087982177734
RandomForestClassifier,20,500,2,0.8933333333333333,0.0483548641204834,0.0011289119720458984
OurFastRandomForest,20,600,0,0.8833333333333333,1.6187005043029785,0.02391648292541504
OurFastRandomForest,20,600,1,0.85,1.5929138660430908,0.024214506149291992
OurFastRandomForest,20,600,2,0.8611111111111112,1.569728136062622,0.023714542388916016
OurFastRandomForest,20,600,3,0.8666666666666667,1.6214659214019775,0.02435588836669922
OurFastRandomForest,20,600,4,0.8888888888888888,1.6004719734191895,0.023636341094970703
RandomForestClassifier,20,600,0,0.8611111111111112,0.06646728515625,0.0012123584747314453
RandomForestClassifier,20,600,1,0.8388888888888889,0.06376481056213379,0.0012192726135253906
RandomForestClassifier,20,600,2,0.8333333333333334,0.058217525482177734,0.0012278556823730469
OurFastRandomForest,20,700,0,0.8857142857142857,1.8832614421844482,0.028600692749023438
OurFastRandomForest,20,700,1,0.8904761904761904,1.8707358837127686,0.029601335525512695
OurFastRandomForest,20,700,2,0.8666666666666667,1.8809113502502441,0.02923750877380371
OurFastRandomForest,20,700,3,0.8952380952380953,1.8261427879333496,0.02979445457458496
OurFastRandomForest,20,700,4,0.9095238095238095,1.9732954502105713,0.029683351516723633
RandomForestClassifier,20,700,0,0.8714285714285714,0.07393598556518555,0.0012423992156982422
RandomForestClassifier,20,700,1,0.8761904761904762,0.07614326477050781,0.001356363296508789
RandomForestClassifier,20,700,2,0.8428571428571429,0.06727766990661621,0.0012204647064208984
OurFastRandomForest,20,800,0,0.8625,2.4781739711761475,0.035581350326538086
OurFastRandomForest,20,800,1,0.8583333333333333,2.4158051013946533,0.03541922569274902
OurFastRandomForest,20,800,2,0.8583333333333333,2.4325709342956543,0.03610086441040039
OurFastRandomForest,20,800,3,0.8333333333333334,2.391178607940674,0.034921884536743164
OurFastRandomForest,20,800,4,0.875,2.411438226699829,0.03560972213745117
RandomForestClassifier,20,800,0,0.8208333333333333,0.08872008323669434,0.0013315677642822266
RandomForestClassifier,20,800,1,0.8375,0.08862805366516113,0.0013680458068847656
RandomForestClassifier,20,800,2,0.8125,0.09059739112854004,0.0013651847839355469
