implementation,n_features,n_samples,seed,accuracy,train_time,test_time
OurFastRandomForest,50,1400,0,0.8714285714285714,10.612690925598145,0.06627893447875977
RandomForestClassifier,50,1400,0,0.8357142857142857,0.4452958106994629,0.0018014907836914062
OurFastRandomForest,50,1200,0,0.85,8.267877578735352,0.05620598793029785
RandomForestClassifier,50,1200,0,0.7944444444444444,0.3630516529083252,0.0015556812286376953
OurFastRandomForest,50,400,0,0.7583333333333333,2.920966148376465,0.015577077865600586
RandomForestClassifier,50,400,0,0.7333333333333333,0.09075641632080078,0.001249551773071289
OurFastRandomForest,50,1100,0,0.8515151515151516,8.276986837387085,0.05128931999206543
RandomForestClassifier,50,1100,0,0.7757575757575758,0.30374717712402344,0.0015194416046142578
OurFastRandomForest,50,1200,0,0.8694444444444445,8.681646823883057,0.05703258514404297
RandomForestClassifier,50,1200,0,0.8305555555555556,0.36252355575561523,0.0015757083892822266
OurFastRandomForest,50,2000,0,0.885,12.66823410987854,0.09834551811218262
RandomForestClassifier,50,2000,0,0.8333333333333334,0.6123824119567871,0.0018084049224853516
OurFastRandomForest,50,100,0,0.7333333333333333,0.8580794334411621,0.0032205581665039062
RandomForestClassifier,50,100,0,0.6,0.024698734283447266,0.0010786056518554688
OurFastRandomForest,50,1600,0,0.8729166666666667,10.721747636795044,0.07815980911254883
RandomForestClassifier,50,1600,0,0.7958333333333333,0.5205543041229248,0.0017209053039550781
OurFastRandomForest,50,400,0,0.7083333333333334,2.721756935119629,0.015440940856933594
RandomForestClassifier,50,400,0,0.75,0.08492445945739746,0.0012631416320800781
OurFastRandomForest,50,1900,0,0.9105263157894737,12.662107706069946,0.09549498558044434
RandomForestClassifier,50,1900,0,0.887719298245614,0.5880968570709229,0.0019009113311767578
OurFastRandomForest,50,1100,0,0.8454545454545455,7.033260822296143,0.051030874252319336
RandomForestClassifier,50,1100,0,0.8484848484848485,0.3240995407104492,0.0018792152404785156
OurFastRandomForest,50,1700,0,0.8254901960784313,12.104074954986572,0.08468770980834961
RandomForestClassifier,50,1700,0,0.8117647058823529,0.5045657157897949,0.0017397403717041016
OurFastRandomForest,50,900,0,0.8185185185185185,7.196019649505615,0.04219651222229004
RandomForestClassifier,50,900,0,0.762962962962963,0.2449350357055664,0.0014164447784423828
OurFastRandomForest,50,800,0,0.8708333333333333,5.610584497451782,0.03507113456726074
RandomForestClassifier,50,800,0,0.8375,0.20123028755187988,0.0013589859008789062
OurFastRandomForest,50,1000,0,0.8633333333333333,6.699879884719849,0.04458284378051758
RandomForestClassifier,50,1000,0,0.86,0.2946319580078125,0.001447916030883789
OurFastRandomForest,50,100,0,0.7333333333333333,0.8263709545135498,0.003176450729370117
RandomForestClassifier,50,100,0,0.7333333333333333,0.025111913681030273,0.0010540485382080078
