implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,50,1400,0,0.8547619047619047,21.145946741104126,0.0598294734954834
FastRandomForest,50,1100,0,0.8363636363636363,19.228666305541992,0.045275211334228516
FastRandomForest,50,500,0,0.8066666666666666,9.486971139907837,0.016678333282470703
FastRandomForest,50,800,0,0.8666666666666667,12.395044326782227,0.029377222061157227
FastRandomForest,50,2000,0,0.8883333333333333,5.757977724075317,0.10106015205383301
FastRandomForest,50,2000,0,0.8316666666666667,5.318163871765137,0.10660600662231445
FastRandomForest,50,900,0,0.8148148148148148,2.3289973735809326,0.03918743133544922
FastRandomForest,50,1800,0,0.8518518518518519,4.409157991409302,0.0909113883972168
FastRandomForest,50,1600,0,0.8666666666666667,3.8347902297973633,0.07722043991088867
FastRandomForest,50,600,0,0.7888888888888889,1.713123083114624,0.023195743560791016
FastRandomForest,50,1000,0,0.8266666666666667,2.7092998027801514,0.05072307586669922
FastRandomForest,50,1500,0,0.8622222222222222,3.6200344562530518,0.06856608390808105
FastRandomForest,50,600,0,0.8,1.5931916236877441,0.02324700355529785
FastRandomForest,50,1800,0,0.8777777777777778,3.9409756660461426,0.08642315864562988
FastRandomForest,50,400,0,0.7416666666666667,0.9465067386627197,0.013242244720458984
FastRandomForest,50,1700,0,0.8372549019607843,4.4917120933532715,0.08506298065185547
FastRandomForest,50,1000,0,0.8533333333333334,2.4967479705810547,0.04415249824523926
FastRandomForest,50,1500,0,0.8688888888888889,3.7448484897613525,0.0744013786315918
FastRandomForest,50,800,0,0.8791666666666667,1.9811511039733887,0.034708261489868164
FastRandomForest,50,1900,0,0.8385964912280702,4.520798206329346,0.09113788604736328
FastRandomForest,50,1000,0,0.8366666666666667,2.289907217025757,0.04620671272277832
FastRandomForest,50,800,0,0.8291666666666667,2.018498182296753,0.03331422805786133
FastRandomForest,50,500,0,0.82,1.4042835235595703,0.01844644546508789
FastRandomForest,50,1100,0,0.8696969696969697,2.68229341506958,0.04788470268249512
FastRandomForest,50,1500,0,0.8577777777777778,3.8527913093566895,0.08968830108642578
FastRandomForest,50,1800,0,0.8722222222222222,4.03003454208374,0.10588455200195312
FastRandomForest,50,1300,0,0.8717948717948718,3.1885950565338135,0.07499217987060547
FastRandomForest,50,1400,0,0.8428571428571429,3.5730254650115967,0.07783389091491699
FastRandomForest,50,300,0,0.8555555555555555,0.736886739730835,0.011950492858886719
FastRandomForest,50,400,0,0.7333333333333333,1.1142597198486328,0.017679214477539062
FastRandomForest,50,200,0,0.7,0.5737993717193604,0.007082700729370117
FastRandomForest,50,1900,0,0.8842105263157894,4.690125942230225,0.10908198356628418
FastRandomForest,50,100,0,0.6666666666666666,0.35346198081970215,0.002988100051879883
FastRandomForest,50,900,0,0.7888888888888889,2.468186616897583,0.04984617233276367
FastRandomForest,50,2000,0,0.8833333333333333,4.60723876953125,0.12399148941040039
FastRandomForest,50,400,0,0.7416666666666667,1.0859472751617432,0.018236398696899414
FastRandomForest,50,300,0,0.8333333333333334,0.892892599105835,0.013113737106323242
FastRandomForest,50,200,0,0.8166666666666667,0.578636884689331,0.007029533386230469
FastRandomForest,50,400,0,0.7583333333333333,1.0368447303771973,0.016867637634277344
FastRandomForest,50,1300,0,0.8666666666666667,3.093111276626587,0.06994986534118652
FastRandomForest,50,1900,0,0.8736842105263158,4.260775804519653,0.11336565017700195
FastRandomForest,50,1600,0,0.8791666666666667,3.7062854766845703,0.09261107444763184
FastRandomForest,50,700,0,0.8238095238095238,1.7040185928344727,0.03391742706298828
