implementation,n_features,n_samples,seed,accuracy,train_time,test_time
OurRandomForest,32,200,0,0.9,9.8009672164917,0.010921955108642578
OurFastRandomForest,32,200,0,0.8666666666666667,2.070204973220825,0.015073776245117188
FastRandomForest,32,200,0,0.8333333333333334,0.751335859298706,0.010043144226074219
RandomForestClassifier,32,200,0,0.8166666666666667,0.19463443756103516,0.032036542892456055
OurRandomForest,32,300,0,0.8777777777777778,14.140790939331055,0.017731428146362305
OurFastRandomForest,32,300,0,0.9,2.322726249694824,0.01726698875427246
FastRandomForest,32,300,0,0.8666666666666667,0.7787749767303467,0.02278614044189453
RandomForestClassifier,32,300,0,0.8666666666666667,0.19100713729858398,0.031656742095947266
OurRandomForest,32,200,0,0.8333333333333334,8.213376760482788,0.010949373245239258
OurFastRandomForest,32,200,0,0.8166666666666667,1.9385976791381836,0.01149129867553711
FastRandomForest,32,200,0,0.8333333333333334,0.7294082641601562,0.010564327239990234
RandomForestClassifier,32,200,0,0.8333333333333334,0.20018386840820312,0.03217792510986328
OurRandomForest,32,100,0,0.8666666666666667,3.324770927429199,0.004940032958984375
OurFastRandomForest,32,100,0,0.8,1.0600802898406982,0.005104780197143555
FastRandomForest,32,100,0,0.8,0.3783247470855713,0.004416227340698242
RandomForestClassifier,32,100,0,0.7666666666666667,0.19213485717773438,0.030084848403930664
OurRandomForest,32,500,0,0.88,29.411941051483154,0.035600900650024414
OurFastRandomForest,32,500,0,0.8933333333333333,4.8795835971832275,0.03086686134338379
FastRandomForest,32,500,0,0.8866666666666667,1.3899874687194824,0.03785586357116699
RandomForestClassifier,32,500,0,0.86,0.20199179649353027,0.03033614158630371
OurRandomForest,32,400,0,0.7583333333333333,24.915021657943726,0.025562524795532227
OurFastRandomForest,32,400,0,0.7416666666666667,3.909022569656372,0.024505138397216797
FastRandomForest,32,400,0,0.7416666666666667,1.1489992141723633,0.024046659469604492
RandomForestClassifier,32,400,0,0.7333333333333333,0.2048664093017578,0.03517913818359375
OurRandomForest,32,100,0,0.5666666666666667,3.1318118572235107,0.004992961883544922
OurFastRandomForest,32,100,0,0.5,1.0514976978302002,0.005253791809082031
FastRandomForest,32,100,0,0.5333333333333333,0.350510835647583,0.004579067230224609
RandomForestClassifier,32,100,0,0.5333333333333333,0.19630885124206543,0.03074789047241211
OurRandomForest,32,400,0,0.75,21.513511657714844,0.02481842041015625
OurFastRandomForest,32,400,0,0.8166666666666667,3.7896718978881836,0.0239870548248291
FastRandomForest,32,400,0,0.8083333333333333,1.0618064403533936,0.023128509521484375
RandomForestClassifier,32,400,0,0.7583333333333333,0.19992470741271973,0.03145003318786621
OurRandomForest,32,100,0,0.7,2.9512557983398438,0.004743337631225586
OurFastRandomForest,32,100,0,0.6333333333333333,0.9687976837158203,0.00483250617980957
FastRandomForest,32,100,0,0.6666666666666666,0.3260765075683594,0.004147768020629883
RandomForestClassifier,32,100,0,0.7333333333333333,0.19104290008544922,0.03248310089111328
OurRandomForest,32,500,0,0.7533333333333333,28.33492422103882,0.03317975997924805
OurFastRandomForest,32,500,0,0.78,3.9488730430603027,0.03170609474182129
FastRandomForest,32,500,0,0.7933333333333333,1.310594081878662,0.030396223068237305
RandomForestClassifier,32,500,0,0.8,0.20803499221801758,0.030351638793945312
OurRandomForest,32,400,0,0.8833333333333333,20.863682508468628,0.02491450309753418
OurFastRandomForest,32,400,0,0.8833333333333333,3.5005598068237305,0.02420949935913086
FastRandomForest,32,400,0,0.875,1.1002883911132812,0.022881269454956055
RandomForestClassifier,32,400,0,0.9,0.20240259170532227,0.031021833419799805
OurRandomForest,32,200,0,0.7666666666666667,9.103271484375,0.011428356170654297
OurFastRandomForest,32,200,0,0.75,2.099796772003174,0.011413335800170898
FastRandomForest,32,200,0,0.7,0.6976490020751953,0.010499715805053711
RandomForestClassifier,32,200,0,0.7166666666666667,0.19417953491210938,0.03329920768737793
OurRandomForest,32,300,0,0.8111111111111111,14.716313123703003,0.01761794090270996
OurFastRandomForest,32,300,0,0.8666666666666667,2.6502444744110107,0.016861915588378906
FastRandomForest,32,300,0,0.8222222222222222,0.8507404327392578,0.016194581985473633
RandomForestClassifier,32,300,0,0.8222222222222222,0.1947939395904541,0.034720659255981445
OurRandomForest,32,300,0,0.8111111111111111,15.543650388717651,0.01907825469970703
OurFastRandomForest,32,300,0,0.7666666666666667,3.036911725997925,0.018491506576538086
FastRandomForest,32,300,0,0.8333333333333334,0.9436690807342529,0.017438888549804688
RandomForestClassifier,32,300,0,0.8333333333333334,0.19603466987609863,0.03060626983642578
OurRandomForest,32,500,0,0.84,29.376771450042725,0.03268265724182129
OurFastRandomForest,32,500,0,0.8466666666666667,4.607972621917725,0.031829118728637695
FastRandomForest,32,500,0,0.84,1.3461434841156006,0.030467510223388672
RandomForestClassifier,32,500,0,0.82,0.20659327507019043,0.032385826110839844
