implementation,n_features,n_samples,seed,accuracy,train_time,test_time
OurRandomForest,10,100,0,0.8666666666666667,3.8013041019439697,0.0031664371490478516
OurRandomForest,10,100,1,0.8666666666666667,4.226646423339844,0.0032625198364257812
OurRandomForest,10,100,2,0.7,3.261975049972534,0.0028753280639648438
OurRandomForest,10,100,3,0.8,3.6571149826049805,0.003130197525024414
OurRandomForest,10,100,4,0.8,3.6499767303466797,0.003034830093383789
FastRandomForest,10,100,0,0.8666666666666667,0.47037386894226074,0.002815723419189453
FastRandomForest,10,100,1,0.9333333333333333,0.5296130180358887,0.0028891563415527344
FastRandomForest,10,100,2,0.6333333333333333,0.3963444232940674,0.0026247501373291016
FastRandomForest,10,100,3,0.8333333333333334,0.43929433822631836,0.0026497840881347656
FastRandomForest,10,100,4,0.7,0.535862922668457,0.002729654312133789
RandomForestClassifier,10,100,0,0.9,0.10410189628601074,0.004252910614013672
RandomForestClassifier,10,100,1,0.9,0.10978150367736816,0.0040740966796875
RandomForestClassifier,10,100,2,0.7,0.10123348236083984,0.0041751861572265625
RandomForestClassifier,10,100,3,0.8666666666666667,0.10233163833618164,0.004104137420654297
RandomForestClassifier,10,100,4,0.8333333333333334,0.10270261764526367,0.004094839096069336
OurRandomForest,20,100,0,0.8333333333333334,6.993393898010254,0.0029137134552001953
OurRandomForest,20,100,1,0.8666666666666667,7.344794511795044,0.0029969215393066406
OurRandomForest,20,100,2,0.8333333333333334,7.098133325576782,0.0029511451721191406
OurRandomForest,20,100,3,0.8,7.366353750228882,0.003013134002685547
OurRandomForest,20,100,4,0.7666666666666667,6.995278358459473,0.003019571304321289
FastRandomForest,20,100,0,0.8333333333333334,0.7727808952331543,0.002623319625854492
FastRandomForest,20,100,1,0.9333333333333333,0.8759756088256836,0.00269317626953125
FastRandomForest,20,100,2,0.8,0.7818202972412109,0.002561330795288086
FastRandomForest,20,100,3,0.8333333333333334,0.8260307312011719,0.002665281295776367
FastRandomForest,20,100,4,0.8,0.7932083606719971,0.002592802047729492
RandomForestClassifier,20,100,0,0.8333333333333334,0.11226320266723633,0.0041425228118896484
RandomForestClassifier,20,100,1,0.9,0.11380505561828613,0.004113674163818359
RandomForestClassifier,20,100,2,0.8333333333333334,0.11431479454040527,0.004126787185668945
RandomForestClassifier,20,100,3,0.8333333333333334,0.11410164833068848,0.004145622253417969
RandomForestClassifier,20,100,4,0.8,0.11274909973144531,0.004103660583496094
